date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
02:37:27	175/175	---MC-	200	added ('OK')	text/plain	date:Sun,%2018%20Jun%202023%2023:37:30%20GMT	https://olympusnotify.org/robots.txt		(from )
02:37:28	262704/262704	---MCZ	200	added ('OK')	text/html	date:Sun,%2018%20Jun%202023%2023:37:30%20GMT	https://olympusnotify.org/	C:/My%20Web%20Sites/oly/olympusnotify.org/index.html	(from )
02:37:29	12366/12366	---M--	200	added ('OK')	image/png	etag:%222dda1290c040c365%22	https://i0.wp.com/olympusnotify.org/wp-content/uploads/2023/02/cropped-asd.png?fit=500%2C187&ssl=1	C:/My%20Web%20Sites/oly/i0.wp.com/olympusnotify.org/wp-content/uploads/2023/02/cropped-asdd1ad.png	(from https://olympusnotify.org/)
02:37:29	41482/41482	---M--	200	added ('OK')	text/css	date:Sat,%2010%20Jun%202023%2022:11:14%20GMT	https://olympusnotify.org/wp-content/themes/astra/assets/css/minified/main.min.css?ver=4.1.5	C:/My%20Web%20Sites/oly/olympusnotify.org/wp-content/themes/astra/assets/css/minified/main.min31a4.css	(from https://olympusnotify.org/)
02:37:29	2665/2665	---MC-	200	added ('OK')	application/rss+xml	date:Sat,%2010%20Jun%202023%2018:29:39%20GMT	https://olympusnotify.org/feed/	C:/My%20Web%20Sites/oly/olympusnotify.org/feed/index.html	(from https://olympusnotify.org/)
02:37:29	1908/1908	---MC-	200	added ('OK')	application/rss+xml	date:Sat,%2010%20Jun%202023%2018:29:39%20GMT	https://olympusnotify.org/comments/feed/	C:/My%20Web%20Sites/oly/olympusnotify.org/comments/feed/index.html	(from https://olympusnotify.org/)
02:37:30	97517/97517	---M--	200	added ('OK')	text/css	date:Sat,%2010%20Jun%202023%2018:22:20%20GMT	https://olympusnotify.org/wp-includes/css/dist/block-library/style.min.css?ver=6.2.2	C:/My%20Web%20Sites/oly/olympusnotify.org/wp-includes/css/dist/block-library/style.min3781.css	(from https://olympusnotify.org/)
02:37:31	602/602	---M--	200	added ('OK')	text/css	date:Wed,%2014%20Jun%202023%2021:29:43%20GMT	https://olympusnotify.org/wp-content/plugins/jetpack/jetpack_vendor/automattic/jetpack-videopress/build/block-editor/blocks/video/view.css?minify=false&ver=34ae973733627b74a14e	C:/My%20Web%20Sites/oly/olympusnotify.org/wp-content/plugins/jetpack/jetpack_vendor/automattic/jetpack-videopress/build/block-editor/blocks/video/view1eec.css	(from https://olympusnotify.org/)
02:37:32	11256/11256	---M--	200	added ('OK')	text/css	date:Sat,%2011%20Feb%202023%2021:26:48%20GMT	https://olympusnotify.org/wp-includes/js/mediaelement/mediaelementplayer-legacy.min.css?ver=4.2.17	C:/My%20Web%20Sites/oly/olympusnotify.org/wp-includes/js/mediaelement/mediaelementplayer-legacy.min1f61.css	(from https://olympusnotify.org/)
02:37:32	4186/4186	---M--	200	added ('OK')	text/css	date:Sat,%2011%20Feb%202023%2021:26:48%20GMT	https://olympusnotify.org/wp-includes/js/mediaelement/wp-mediaelement.min.css?ver=6.2.2	C:/My%20Web%20Sites/oly/olympusnotify.org/wp-includes/js/mediaelement/wp-mediaelement.min3781.css	(from https://olympusnotify.org/)
